CARDINALITY,TIME TAKEN,MODE,GUESS COUNT, MINES ATTACKED COUNT, SOLUTION FOUND, NO SOLUTION FOUND, AMBIGUOUS SOLUTION FOUND,
5,62,EXPERT,1493,1043,227,1478,243
10,5945,EXPERT,1596,1113,232,1569,534
15,796,EXPERT,1853,1272,250,1823,569
5,514,NAIIVE,1,0,5,0,3
10,234,NAIIVE,1,0,29,0,3
5,561,NAIIVE,1,0,5,0,3
10,344,NAIIVE,25,7,18,24,3
15,202,NAIIVE,25,7,58,24,3
20,6978,NAIIVE,249,179,86,243,133
25,686,NAIIVE,306,215,199,299,139
5,62,MEDIUM,327,231,202,320,143
10,142,MEDIUM,368,253,208,361,151
15,421,MEDIUM,467,324,228,460,151
20,1640,MEDIUM,887,636,231,880,153
25,2233,MEDIUM,1151,800,330,1138,261
5,62,EXPERT,1169,809,333,1155,271
10,141,EXPERT,1223,840,345,1209,273
5,484,NAIIVE,0,0,3,0,0
10,265,NAIIVE,22,10,19,22,3
15,951,NAIIVE,71,38,43,71,11
20,1514,NAIIVE,142,71,104,139,63
25,2340,NAIIVE,509,338,120,506,63
5,46,MEDIUM,512,339,123,509,66
5,845,NAIIVE,1,0,7,0,11
10,281,NAIIVE,10,0,30,9,11
15,423,NAIIVE,19,1,65,18,11
20,2287,NAIIVE,178,113,79,177,11
25,1841,NAIIVE,380,272,159,376,83
5,468,NAIIVE,0,0,7,0,0
10,390,NAIIVE,32,17,14,32,11
15,546,NAIIVE,48,25,51,47,17
20,1186,NAIIVE,107,58,107,105,22
5,486,NAIIVE,2,0,5,0,12
10,2108,NAIIVE,23,7,26,10,263
15,440,NAIIVE,38,14,71,24,266
20,1483,NAIIVE,190,115,95,176,266
25,1138,NAIIVE,343,220,159,329,277
5,504,NAIIVE,2,0,5,0,12
10,483,NAIIVE,28,8,19,26,12
15,563,NAIIVE,38,9,60,35,15
20,2241,NAIIVE,198,124,109,195,29
25,1202,NAIIVE,364,238,185,361,35
5,47,MEDIUM,368,241,188,365,39
10,390,MEDIUM,448,288,192,441,92
15,392,MEDIUM,555,360,236,545,133
20,1733,MEDIUM,965,650,250,951,237
25,3165,MEDIUM,1584,1115,256,1570,237
5,62,EXPERT,1605,1126,258,1591,242
5,423,NAIIVE,0,0,0,0,0
10,156,NAIIVE,0,0,12,0,0
15,766,NAIIVE,23,17,48,22,3
20,2702,NAIIVE,286,229,59,285,5
25,1626,NAIIVE,550,418,95,549,5
5,63,MEDIUM,557,422,99,556,7
10,140,MEDIUM,614,454,103,613,13
15,1186,MEDIUM,669,487,151,665,70
20,1575,MEDIUM,1095,805,159,1091,72
25,3127,MEDIUM,1732,1276,171,1728,74
5,78,EXPERT,1758,1293,179,1753,81
5,499,NAIIVE,3,1,5,3,2
10,296,NAIIVE,9,1,32,9,17
15,812,NAIIVE,35,16,67,32,50
20,1170,NAIIVE,126,74,126,123,50
25,1981,NAIIVE,387,253,173,383,56
5,62,MEDIUM,398,255,175,394,61
10,125,MEDIUM,428,268,187,424,61
15,577,MEDIUM,595,381,197,591,70
20,1741,MEDIUM,1007,663,200,1003,72
5,484,NAIIVE,0,0,4,0,0
10,374,NAIIVE,25,13,15,25,2
15,515,NAIIVE,34,19,51,34,2
20,2246,NAIIVE,165,116,70,165,6
25,2340,NAIIVE,256,175,142,251,109
5,63,MEDIUM,261,177,147,256,113
10,171,MEDIUM,315,211,154,310,117
15,577,MEDIUM,445,295,177,440,156
20,1764,MEDIUM,934,661,190,929,161
25,2919,MEDIUM,1488,1064,197,1483,164
5,62,EXPERT,1495,1065,207,1485,206
5,468,NAIIVE,0,0,3,0,0
10,234,NAIIVE,13,8,21,13,2
5,484,NAIIVE,2,1,2,2,2
10,265,NAIIVE,17,11,26,16,7
5,452,NAIIVE,0,0,4,0,0
10,530,NAIIVE,73,52,6,73,5
15,1139,NAIIVE,180,119,10,180,7
20,593,NAIIVE,241,156,66,240,26
25,2514,NAIIVE,692,535,87,691,34
5,46,MEDIUM,693,535,90,692,36
10,234,MEDIUM,797,606,94,794,62
15,453,MEDIUM,938,700,100,935,71
20,1685,MEDIUM,1376,1022,112,1371,104
25,3057,MEDIUM,1924,1384,117,1919,106
5,78,EXPERT,1936,1389,121,1928,139
10,499,EXPERT,2030,1442,125,2015,302
10,1139,NAIIVE,45,23,19,44,8
20,2106,NAIIVE,62,33,94,56,108
30,4508,NAIIVE,592,446,96,586,114
50,31700,NAIIVE,2174,1702,110,2168,152
10,93,MEDIUM,2186,1706,135,2179,158
20,1201,MEDIUM,2504,1903,142,2497,158
10,717,NAIIVE,18,11,21,17,9
20,2918,NAIIVE,315,279,32,314,12
30,1310,NAIIVE,394,316,175,392,34
50,30874,NAIIVE,1945,1582,228,1943,51
10,202,MEDIUM,1996,1606,243,1992,78
10,656,NAIIVE,11,4,18,10,6
20,1872,NAIIVE,71,31,81,66,82
30,3183,NAIIVE,435,310,161,428,128
50,30279,NAIIVE,2001,1610,295,1991,157
10,94,MEDIUM,2027,1624,317,2017,157
20,2199,MEDIUM,2549,2016,325,2535,239
30,8846,MEDIUM,3558,2736,332,3542,275
5,546,NAIIVE,3,0,13,0,48
10,110,NAIIVE,3,0,29,0,48
15,1154,NAIIVE,76,55,46,72,67
20,624,NAIIVE,97,65,122,93,69
25,1966,NAIIVE,342,244,157,337,77
5,46,MEDIUM,342,244,162,337,77
10,188,MEDIUM,415,290,169,410,79
15,546,MEDIUM,610,425,194,604,85
20,1216,MEDIUM,908,606,209,902,88
25,3323,MEDIUM,1525,1047,215,1519,94
5,63,EXPERT,1548,1062,217,1540,104
5,499,NAIIVE,6,1,6,4,13
10,250,NAIIVE,9,1,25,4,56
15,1170,NAIIVE,100,63,28,95,63
20,842,NAIIVE,158,100,92,150,96
25,2044,NAIIVE,515,381,94,507,104
5,62,MEDIUM,524,382,100,516,112
10,187,MEDIUM,610,449,114,601,118
15,499,MEDIUM,764,542,135,751,147
5,484,NAIIVE,0,0,7,0,5
10,234,NAIIVE,16,12,22,16,8
15,702,NAIIVE,54,33,30,54,14
20,1046,NAIIVE,116,72,94,115,19
25,1606,NAIIVE,317,211,165,316,38
5,63,MEDIUM,326,214,171,325,46
5,483,NAIIVE,0,0,3,0,0
10,203,NAIIVE,8,5,21,7,6
15,624,NAIIVE,30,16,58,29,11
20,2527,NAIIVE,279,204,68,278,16
25,1124,NAIIVE,410,290,143,407,42
5,499,NAIIVE,2,0,6,0,14
10,359,NAIIVE,39,23,15,36,26
15,920,NAIIVE,97,68,42,93,31
20,1451,NAIIVE,274,199,62,270,36
25,1997,NAIIVE,655,502,76,651,45
5,62,MEDIUM,659,503,87,651,93
5,453,NAIIVE,0,0,3,0,0
10,265,NAIIVE,20,10,8,20,7
5,484,NAIIVE,3,0,4,3,3
10,234,NAIIVE,16,5,17,16,3
15,717,NAIIVE,41,17,56,39,20
20,1170,NAIIVE,99,57,120,97,22
25,2543,NAIIVE,449,346,135,447,33
5,62,MEDIUM,449,346,139,447,33
10,156,MEDIUM,500,377,143,497,41
15,577,MEDIUM,668,476,153,665,46
20,936,MEDIUM,907,644,197,903,57
25,3089,MEDIUM,1515,1108,227,1507,121
5,78,EXPERT,1548,1122,228,1537,136
10,203,EXPERT,1650,1196,237,1639,140
5,484,NAIIVE,5,4,4,5,2
10,328,NAIIVE,26,14,23,25,5
15,1076,NAIIVE,122,89,50,121,5
20,1700,NAIIVE,334,270,65,333,7
25,2699,NAIIVE,642,508,107,637,92
5,468,NAIIVE,0,0,4,0,0
10,421,NAIIVE,46,32,8,46,2
15,921,NAIIVE,112,77,13,112,7
20,936,NAIIVE,203,139,72,203,9
25,1622,NAIIVE,461,333,83,461,9
5,468,NAIIVE,0,0,9,0,8
10,390,NAIIVE,50,41,17,50,14
15,484,NAIIVE,77,60,60,76,17
20,2014,NAIIVE,287,221,77,286,17
5,468,NAIIVE,1,0,0,0,3
10,1295,NAIIVE,31,16,15,25,94
15,296,NAIIVE,34,16,48,28,94
20,1061,NAIIVE,96,50,101,90,96
25,2053,NAIIVE,437,331,110,431,96
5,62,MEDIUM,449,340,115,443,99
10,219,MEDIUM,534,394,124,526,121
15,561,MEDIUM,742,558,133,734,123
20,1545,MEDIUM,1147,856,137,1135,159
25,2402,MEDIUM,1654,1222,189,1642,171
5,47,EXPERT,1671,1229,191,1659,176
10,187,EXPERT,1757,1294,198,1744,182
5,483,NAIIVE,3,0,4,3,3
10,203,NAIIVE,14,9,15,14,8
15,1264,NAIIVE,119,93,30,119,12
20,374,NAIIVE,133,103,112,133,14
25,1279,NAIIVE,287,205,187,287,14
5,484,NAIIVE,0,0,5,0,0
10,218,NAIIVE,12,4,12,12,2
15,1280,NAIIVE,120,69,17,120,4
20,748,NAIIVE,177,109,71,177,11
25,1982,NAIIVE,375,253,127,375,15
5,93,MEDIUM,390,263,131,390,17
10,562,MEDIUM,433,287,149,430,59
15,405,MEDIUM,536,354,185,532,65
20,1685,MEDIUM,991,664,191,987,67
5,499,NAIIVE,0,0,6,0,0
10,156,NAIIVE,7,3,20,7,3
5,484,NAIIVE,0,0,4,0,0
10,234,NAIIVE,15,10,16,15,5
15,998,NAIIVE,73,51,42,73,8
20,1576,NAIIVE,270,182,53,269,32
25,1968,NAIIVE,671,509,61,670,37
5,421,NAIIVE,0,0,0,0,0
10,484,NAIIVE,21,11,14,18,41
5,483,NAIIVE,2,0,7,0,12
10,219,NAIIVE,14,5,24,10,28
15,1233,NAIIVE,126,88,35,122,28
